sku;Brand;Description;Final_price;Original_price;Discount;Regular_price;Regular_price_measure;Regular_price_un;timestamp
336771;ALICANTE;Oregano Alicante St X50gr;1311.0;;;2622.0;100;gr;2023-12-27 14:41:54.478
403600;BIMBO;Pan Integral Cero Cero Bimbo 350g;2553.0;;;7294.29;1;kg;2023-12-27 14:41:54.478
28934;NATURA;Mostaza Natura;840.0;;;1680.0;1;kg;2023-12-27 14:41:54.478
5739;GRANAGUA;Galletitas De Agua Granagua 200 Gr;342.69;;;1713.45;1;kg;2023-12-27 14:41:54.478
343448;CUISINE & CO NBE MP;Arveja S/sal Agregada Cuisine & Co 300gr;464.0;;;2263.41;1;kg;2023-12-27 14:41:54.478
386181;VARIEDAD;Galletitas Dulces Variedad De Terrabusi Mix Vainilla 300g;741.0;;;2470.0;1;kg;2023-12-27 14:41:54.478
336772;ALICANTE;Provenzal Alicante St X50gr;1116.0;;;2232.0;100;gr;2023-12-27 14:41:54.478
31030;GRANIX;Copos De Maíz Granix Skarchitos 240 Gr;525.87;;;2191.13;1;kg;2023-12-27 14:41:54.478
392418;NESQUIK;Nesquik® Cereal X 400gr;2345.76;;;5864.4;1;kg;2023-12-27 14:41:54.478
403592;FARGO;Pan Blanco Lacteado Fargo 330g;1768.0;;;5357.58;1;kg;2023-12-27 14:41:54.478
309292;CUISINE & CO NBE MP;Tostadas Finas clásicas 140gr C&co;1130.93;;;8078.07;1;kg;2023-12-27 14:41:54.478
387872;KNORR;Caldo Knorr Sabor Gallina X 12 Cubos;645.0;;;5657.89;1;kg;2023-12-27 14:41:54.478
309267;CUISINE & CO NBE MP;Miss Hojaldre - Triangulitas Cuisine & Co 150 Gr;654.0;;;4360.0;1;kg;2023-12-27 14:41:54.478
391148;FAVINCO;Vinagre Favinco De Alcohol X1300ml;940.67;;;723.59;1;lt;2023-12-27 14:41:54.478
45471;ROYAL;Gelatina Sin Sabor Royal 14g;245.0;;;1750.0;100;gr;2023-12-27 14:41:54.478
318739;LA MERCED;Yerba Mate La Merced Monte O.c 500g;1982.3;;;3964.6;1;kg;2023-12-27 14:41:54.478
392150;ZUCARITAS;Copos De Maiz Zucarita Kelloggs X490g;2151.28;;;4390.37;1;kg;2023-12-27 14:41:54.478
320480;UNION;Mate Cocido Unión S/e F.diamantado 5x50x3gr;914.66;;;6097.73;1;kg;2023-12-27 14:41:54.478
339715;OPERA;Galletitas Obleas Opera Frutilla X68g;300.0;;;4411.76;1;kg;2023-12-27 14:41:54.478
2362;CASERITA;Harina Caserita Leudante 1 Kg;872.0;;;872.0;1;kg;2023-12-27 14:41:54.478
2780;GREEN HILLS;Té Green Hills Saquitos 200 Gr;2232.3;;;11161.5;1;kg;2023-12-27 14:41:54.478
