brand;description;final_price;original_price;discount;regular_price;sku
VERDEFLOR;Yerba Mate Verdeflor Con Palo Hierbas 500 Gr;$1.713;;;Precio regular: $3.426 x kg;13831
DOS ANCLAS;Sal Fina Dos Anclas X500gr;$650;;;Precio regular: $1.300 x kg;24157
LA CAMPAGNOLA;Mermelada La Campagnola Arandano X390g Bc;$1.555;;;Precio regular: $3.987,18 x kg;340586
TARAGUI;Mate Cocido Taragui X 150 Gr;$1.265;;;Precio regular: $8.433,33 x kg;320478
CUISINE & CO NBE MP;Lentejas Cuisine & Co 300gr;$1.050;;;Precio regular: $5.121,95 x kg;343441
ARTESANO;Pan De Semillas Bimbo Artesano X 500g;$3.406;;;Precio regular: $6.812 x kg;386147
GRANIX;Copos De Maíz Tradicionales Granix 400 Gr;$780,55;;;Precio regular: $1.951,38 x kg;30583
SHOT;Chocolate Con Maní Shot 35g;$499;;;Precio regular: $1.425,71 x 100 gr.;10281
OREO;Galletitas Dulces Rellenas Con Crema Sabor Frutilla Oreo 118g;$438;$730;-40%;Precio regular: $6.186,44 x kg;387756
LINCOLN;Galletitas Lincoln Clasicas X219g;$772;;;Precio regular: $3.509,09 x kg;395228
LUCHETTI;Fideos Lucchetti Mostachol N51 X500g;$905;;;Precio regular: $1.810 x kg;403670
DOS ANCLAS;Sal Gruesa Dos Anclas 500 Gr;$550;;;Precio regular: $1.100 x kg;24634
ARTESANO;Pan De Panchos Bimbo Artesano X 6u;$1.419;;;Precio regular: $5.912,5 x kg;386142
SWIFT;Picadillo De Carne Swift 90 Gr;$473;;;Precio regular: $5.255,56 x kg;148266
ROYAL;Gelatina Royal Frutilla Regular 25g;$306;;;Precio regular: $1.224 x 100 gr.;386166
CUISINE & CO NBE MP;Aceite De Oliva Cuisine & Co Extra Virgen 500cc;$12.650;;;Precio regular: $25.300 x lt;337884
BAGLEY;Alfajor Triple Negro Bob 60 Gr;$596;;;Precio regular: $9.933,33 x kg;44495
LA CAMPAGNOLA;Mermelada La Campagnola Ciruela X390g Bc;$900;;;Precio regular: $2.307,69 x kg;340587
STARBUCKS;Starbucks® Nespresso® Blonde Espresso X 10un;$4.185,47;;;Precio regular: $418,55 x un;312506
CUISINE & CO NBE MP;Mermelada De Durazno Cuisine & Co;$1.200;;;Precio regular: $2.637,36 x kg;309435
BIMBO;Pan De Papa De Hamburguesa Artesano X 4u;$1.658;;;Precio regular: $6.908,33 x kg;386144
FARGO;Pan Mix De Cereales Fargo X 400g;$2.158;;;Precio regular: $5.395 x kg;387672
LAY´S;Papas Fritas Lays Jamon Serrano X77g;$1.032,2;$1.588;-35%;Precio regular: $19.850 x kg;395373
CASALTA;Aceto Balsámico Casalta Redución 400 Ml;$4.650;;;Precio regular: $11.625 x lt;46442
CUISINE & CO NBE MP;Jardinera Cuisine & Co 300gr;$1.050;;;Precio regular: $4.772,73 x kg;343442
TARAGUI;Te Taragui Sin Filtro Diamantado X 50 Saquitos;$956;;;Precio regular: $9.560 x kg;331138
HOGAREÑAS;Galletitas Hogareñas Salvado 200g;$416;;;Precio regular: $2.080 x kg;318821
CUISINE & CO NBE MP;Pionono Vainilla Cuisine & Co 200gr;$1.350,96;;;Precio regular: $6.754,8 x kg;330330
CUISINE & CO NBE MP;Tu Polenta - Harina De Maiz Instantanea;$366,45;;;Precio regular: $732,9 x kg;308296
MOGUL;Gomitas Mogul Conitos 1 Kg;$5.062;;;Precio regular: $5.062 x kg;4783
ROYAL;Flan Royal Vainilla 60g;$187;;;Precio regular: $3.116,67 x kg;389911
HEINZ;Mayonesa Heinz 350gr;$1.100;;;Precio regular: $3.125 x kg;258198
CUISINE & CO NBE MP;Pionono Salado Cuisine & Co 200gr;$1.350,96;;;Precio regular: $6.754,8 x kg;330327
BARILLA;Fideos Spaghetti Barilla 500 Gr;$5.868,15;;;Precio regular: $11.736,3 x kg;27836
SWIFT;Pate De Foie Swift 90 Gr;$464;;;Precio regular: $5.155,56 x kg;2983
LACTAL;Pan Blanco Lactal X 315g;$1.268;;;Precio regular: $4.090,32 x kg;386821
Molinos Ala;Arroz Molinos Ala En Grano 1kg;$2.650;;;Precio regular: $2.650 x kg;409102
CUISINE & CO NBE MP;Galletitas C/chips Chocolate 186grc&c;$1.200;;;Precio regular: $6.451,61 x kg;306208
CUISINE & CO NBE MP;Galletitas Con Avena Y Pasas 186gr C&c;$1.200;;;Precio regular: $6.451,61 x kg;306201
BELDENT;Chicle Sabor Chicle Globo Beldent 20g;$400;;;Precio regular: $4.000 x 100 gr.;329810
BIMBO;Pan Blanco Bimbo X 400g;$1.960;;;Precio regular: $4.900 x kg;395580
DOS HERMANOS;Galleta De Arroz Slim Dos Hermanos Salada X100 Gr;$545,13;;;Precio regular: $5.451,3 x kg;245363
FLOW;Barra Flow Almendras Enteras Con Piso De Chocolate X30g;$195,94;;;Precio regular: $653,13 x 100 gr.;351991
9 DE ORO;Bizcochos De Grasa 9 De Oro 200 Gr;$1.297;;;Precio regular: $6.485 x kg;2817
CADA DIA;Aceite De Girasol Cada Día 900 Ml;$968;;;Precio regular: $1.075,56 x lt;24608
CUISINE & CO NBE MP;Tostadas De Arroz Aireadas 110 Gr C&co;$1.000;;;Precio regular: $9.090,91 x kg;306168
CUISINE & CO NBE MP;Sardinas En Aceite cuisine & Co 160gr;$1.763,55;;;Precio regular: $16.637,26 x kg;338370
TITA;Tita Clásica 19g;$343;;;Precio regular: $1.805,26 x 100 gr.;330894
CUISINE & CO NBE MP;Lentejas Secas Cuisine & Co 400gr;$1.650;;;Precio regular: $4.125 x kg;342227
MAGGI;Maggi® Puré Original X 100gr;$715;;;Precio regular: $7.150 x kg;399828
CUISINE & CO NBE MP;Aceite De Oliva Virgen 500ml Cuisine & Co;$11.100;;;Precio regular: $22.200 x lt;352424
KNORR;Pure De Papas Knorr Receta Completa Listo X125g;$905;;;Precio regular: $7.240 x kg;352161
ROSAMONTE;Yerba Mate Rosamonte Con Palo Suave 500 Gr;$1.397,75;;;Precio regular: $2.795,5 x kg;6503
CUISINE & CO NBE MP;Madalenas Vainilla Con Dulce De Leche C&co 180 Gr;$776,88;;;Precio regular: $4.316 x kg;384164
MILK;Alfajor Triple Milka Mousse Blanco 55g;$643;;;Precio regular: $11.690,91 x kg;24023
Molinos Ala;Tostadas Arroz Molinos Ala Integ X150g;$616,19;;;Precio regular: $4.107,93 x kg;306789
LA CAMPAGNOLA;Aderezo Ketchup La Campagnola 250 Gr;$319,8;$492;-35%;Precio regular: $1.968 x kg;30314
MAIZENA;Almidon De Maiz Maizena Sin Tacc X500g;$1.071;;;Precio regular: $2.142 x kg;392953
LA VIRGINIA;Cafe La Virginia Capsulas Sutil X52g;$4.635;;;Precio regular: $463,50 x un;346855
STARBUCKS;Starbucks® Nespresso® House Blend X 10u.;$4.185,47;;;Precio regular: $418,55 x un;312502
MOGUL;Gomitas Mogul Jelly Buttons 1 Kg;$5.062;;;Precio regular: $5.062 x kg;4781
ROYAL;Gelatina Royal Light Cereza 25grs;$512;;;Precio regular: $2.048 x 100 gr.;386161
TERRABUSI;Alfajor Triple Terrabusi Clásico 70g;$392,63;;;Precio regular: $5.609 x kg;15593
VARIEDAD;Galletitas Dulces Variedad De Terrabusi Nuevo Mix 590g;$1.773;;;Precio regular: $2.955 x kg;387759
CBSE;Yerba Mate Cbsé Hierbas Serranas X50yerba Mate Cbse Hierbas Serranas X500g;Llevando 2: $NaN c/u;;;Precio regular: $3.111,7 x kg;331007
KRACH-ITOS;Palitos Krach-itos Salados X110g;$704;;;Precio regular: $6.175,44 x kg;387603
