Brand;Description;Final_price;Original_price;Discount;Regular_price;sku
ROSAMONTE;Yerba Mate Rosamonte Con Palo Suave 500 Gr;$1.397,75;;;Precio regular: $2.795,5 x kg;6503
CUISINE & CO NBE MP;Sardinas En Aceite cuisine & Co 160gr;$1.763,55;;;Precio regular: $16.637,26 x kg;338370
ARCOR;Mermelada Arcor Damasco Fruta X454g;$951;;;Precio regular: $2.094,71 x kg;337042
BON O BON;Bombones Bon O Bon Surtidos 255 Gr;$2.827;;;Precio regular: $11.086,27 x kg;255636
MAIZENA;Almidon De Maiz Maizena Sin Tacc X500g;$856;;;Precio regular: $1.712 x kg;392953
Molinos Ala;Arroz Molinos Ala En Grano 1kg;$1.683;;;Precio regular: $1.683 x kg;409102
ROYAL;Gelatina Royal Light Cereza 25grs;$419;;;Precio regular: $1.676 x 100 gr.;386161
9 DE ORO;Bizcochos De Grasa 9 De Oro 200 Gr;$1.037;;;Precio regular: $5.185 x kg;2817
MOGUL;Gomitas Mogul Jelly Buttons 1 Kg;$4.824;;;Precio regular: $4.824 x kg;4781
TIC TAC;Pastillas Tic Tac Mix De Frutas 33 U;$176,07;;;Precio regular: $1.100,44 x 100 gr.;34405
LA CAMPAGNOLA;Aderezo Ketchup La Campagnola 250 Gr;$492;;;Precio regular: $1.968 x kg;30314
CACHAFAZ;Alfajores Cachafaz Negros 360g;$5.864;;;Precio regular: $16.288,89 x kg;46317
STARBUCKS;Starbucks® Nespresso® House Blend X 10u.;$4.185,47;;;Precio regular: $418,55 x un;312502
OLIOVITA;Aceite De Oliva Oliovita Extra Virgen Clásico 500 Ml;$8.192,35;;;Precio regular: $16.384,7 x lt;13916
KNORR;Pure De Papas Knorr Receta Completa Listo X125g;$724;;;Precio regular: $5.792 x kg;352161
CUISINE & CO NBE MP;Tostadas Finas light 140gr C&co;$1.130,93;;;Precio regular: $8.078,07 x kg;309293
TERRABUSI;Alfajor Triple Terrabusi Clásico 70g;$392,63;;;Precio regular: $5.609 x kg;15593
PRINGLES;Papas Pringles Queso X124gs;$1.856,96;;;Precio regular: $15.474,67 x kg;386822
UNION;Mate Cocido Union 25 Saq;$519,87;;;Precio regular: $6.931,6 x kg;348529
AMANDA;Yerba Amanda Con Palo Px4;$1.257;;;Precio regular: $2.514 x kg;28478
ALICANTE;Pimenton Alicante St X50g;$947;;;Precio regular: $1.894 x 100 gr.;342885
CACHAFAZ;Galletitas Integral Cachafaz Avena Y Pasas 225 Gr;$1.487;;;Precio regular: $6.608,89 x kg;28200
CEREAL MIX;Barra Cereal Mix Yoghurt Frutilla Light X104gr;$1.294;;;Precio regular: $12.442,31 x kg;343316
CUISINE & CO NBE MP;Galles Con Avena Y Coco Con Chips 186 Gr C&co;$789,73;;;Precio regular: $4.245,86 x kg;340069
NESQUIK;Nesquik® Original Polvo Chocolatado Menos Azúcar X 300gr;$2.058,74;2do al 80%;Llevando 2: $1.235,24 c/u;Precio regular: $6.862,47 x kg;392447
